, Trial_ID,pos,Percent_Captures,Capture_Count,RSSI,Time_to_Discovery,Trial,Listener Latency,Adv Latency,Adv Power
180,22.0,3.6,0.08713272543059777,172.0,-96.17441860465117,4059.0,22.0,Low_Latency,Low_Power,Medium
181,22.0,4.8,0.0845997973657548,167.0,-94.96407185628742,4059.0,22.0,Low_Latency,Low_Power,Medium
182,22.0,6.0,0.12310030395136777,243.0,-86.71604938271605,4058.0,22.0,Low_Latency,Low_Power,Medium
183,22.0,7.199999999999998,0.11195542046605876,221.0,-88.96832579185521,4059.0,22.0,Low_Latency,Low_Power,Medium
184,22.0,8.4,0.11904761904761905,235.0,-93.14468085106381,4059.0,22.0,Low_Latency,Low_Power,Medium
185,22.0,9.6,0.12360688956433635,244.0,-92.29918032786884,4059.0,22.0,Low_Latency,Low_Power,Medium
186,22.0,10.8,0.08966565349544073,177.0,-98.90960451977399,4059.0,22.0,Low_Latency,Low_Power,Medium
187,22.0,12.0,0.03900709219858156,77.0,-100.12987012987013,4059.0,22.0,Low_Latency,Low_Power,Medium
188,23.0,1.2,0.16457811194653302,197.0,-86.17766497461929,2617.0,23.0,Low_Latency,Low_Power,Low
189,23.0,2.4,0.15789473684210525,189.0,-95.21693121693121,2618.0,23.0,Low_Latency,Low_Power,Low
190,23.0,3.6,0.04678362573099415,56.0,-100.85714285714286,2615.0,23.0,Low_Latency,Low_Power,Low
191,23.0,4.8,0.06516290726817042,78.0,-100.25641025641028,2614.0,23.0,Low_Latency,Low_Power,Low
192,23.0,6.0,0.16040100250626566,192.0,-96.1875,2618.0,23.0,Low_Latency,Low_Power,Low
193,23.0,7.199999999999998,0.18045112781954886,216.0,-96.4398148148148,2619.0,23.0,Low_Latency,Low_Power,Low
194,23.0,8.4,0.06265664160401002,75.0,-98.97333333333331,2617.0,23.0,Low_Latency,Low_Power,Low
195,23.0,9.6,0.15121136173767752,181.0,-97.11049723756906,2618.0,23.0,Low_Latency,Low_Power,Low
196,23.0,10.8,0.01086048454469507,13.0,-103.0,2582.0,23.0,Low_Latency,Low_Power,Low
197,24.0,1.2,0.3932203389830509,232.0,-91.54310344827586,1779.0,24.0,Low_Latency,Low_Power,Ultra_low
198,24.0,2.4,0.21864406779661014,129.0,-99.03100775193798,1776.0,24.0,Low_Latency,Low_Power,Ultra_low
199,24.0,6.0,0.13559322033898305,80.0,-98.525,1776.0,24.0,Low_Latency,Low_Power,Ultra_low
200,24.0,7.199999999999998,0.14745762711864407,87.0,-100.34482758620688,1774.0,24.0,Low_Latency,Low_Power,Ultra_low
201,24.0,8.4,0.001694915254237288,1.0,-106.0,1633.0,24.0,Low_Latency,Low_Power,Ultra_low
202,24.0,9.6,0.10338983050847456,61.0,-100.80327868852459,1778.0,24.0,Low_Latency,Low_Power,Ultra_low
203,25.0,1.2,0.10511363636363637,111.0,-74.67567567567569,1058.0,25.0,Low_Power,Balanced,High
204,25.0,2.4,0.0918560606060606,97.0,-82.45360824742268,1056.0,25.0,Low_Power,Balanced,High
205,25.0,3.6,0.10037878787878787,106.0,-87.17924528301887,1057.0,25.0,Low_Power,Balanced,High
206,25.0,4.8,0.10227272727272728,108.0,-92.88888888888887,1059.0,25.0,Low_Power,Balanced,High
207,25.0,6.0,0.10890151515151517,115.0,-80.75652173913043,1059.0,25.0,Low_Power,Balanced,High
208,25.0,7.199999999999998,0.09659090909090907,102.0,-83.62745098039215,1058.0,25.0,Low_Power,Balanced,High
209,25.0,8.4,0.10132575757575757,107.0,-87.66355140186916,1059.0,25.0,Low_Power,Balanced,High
210,25.0,9.6,0.10037878787878787,106.0,-84.58490566037736,1059.0,25.0,Low_Power,Balanced,High
211,25.0,10.8,0.0918560606060606,97.0,-91.85567010309279,1055.0,25.0,Low_Power,Balanced,High
212,25.0,12.0,0.10132575757575757,107.0,-96.18691588785046,1059.0,25.0,Low_Power,Balanced,High
213,26.0,1.2,0.1067472306143001,106.0,-79.66037735849056,397.0,26.0,Low_Power,Balanced,Medium
214,26.0,2.4,0.12185297079556898,121.0,-87.94214876033058,399.0,26.0,Low_Power,Balanced,Medium
215,26.0,3.6,0.11379657603222558,113.0,-92.75221238938052,399.0,26.0,Low_Power,Balanced,Medium
216,26.0,4.8,0.0916414904330312,91.0,-98.42857142857143,396.0,26.0,Low_Power,Balanced,Medium
217,26.0,6.0,0.1067472306143001,106.0,-87.00943396226415,398.0,26.0,Low_Power,Balanced,Medium
218,26.0,7.199999999999998,0.10876132930513596,108.0,-89.12037037037037,398.0,26.0,Low_Power,Balanced,Medium
219,26.0,8.4,0.11983887210473315,119.0,-94.22689075630251,396.0,26.0,Low_Power,Balanced,Medium
220,26.0,9.6,0.11983887210473315,119.0,-90.781512605042,397.0,26.0,Low_Power,Balanced,Medium
221,26.0,10.8,0.08559919436052367,85.0,-98.0,394.0,26.0,Low_Power,Balanced,Medium
222,26.0,12.0,0.025176233635448138,25.0,-100.52,390.0,26.0,Low_Power,Balanced,Medium
223,27.0,1.2,0.1743827160493827,113.0,-86.47787610619469,261.0,27.0,Low_Power,Balanced,Low
224,27.0,2.4,0.10802469135802467,70.0,-92.07142857142857,261.0,27.0,Low_Power,Balanced,Low
225,27.0,3.6,0.10493827160493828,68.0,-97.11764705882355,263.0,27.0,Low_Power,Balanced,Low
226,27.0,4.8,0.007716049382716048,5.0,-102.0,304.0,27.0,Low_Power,Balanced,Low
227,27.0,6.0,0.14660493827160495,95.0,-93.47368421052632,260.0,27.0,Low_Power,Balanced,Low
228,27.0,7.199999999999998,0.1712962962962963,111.0,-95.13513513513512,263.0,27.0,Low_Power,Balanced,Low
229,27.0,8.4,0.1095679012345679,71.0,-98.04225352112677,261.0,27.0,Low_Power,Balanced,Low
230,27.0,9.6,0.16049382716049382,104.0,-96.58653846153848,263.0,27.0,Low_Power,Balanced,Low
231,27.0,10.8,0.016975308641975308,11.0,-101.72727272727272,275.0,27.0,Low_Power,Balanced,Low
232,28.0,1.2,0.3515151515151515,116.0,-92.73275862068964,923.0,28.0,Low_Power,Balanced,Ultra_low
233,28.0,2.4,0.24242424242424246,80.0,-97.275,924.0,28.0,Low_Power,Balanced,Ultra_low
234,28.0,3.6,0.00909090909090909,3.0,-101.66666666666669,1067.0,28.0,Low_Power,Balanced,Ultra_low
235,28.0,6.0,0.1787878787878788,59.0,-98.42372881355931,922.0,28.0,Low_Power,Balanced,Ultra_low
236,28.0,7.199999999999998,0.10303030303030304,34.0,-100.32352941176471,924.0,28.0,Low_Power,Balanced,Ultra_low
237,28.0,8.4,0.00909090909090909,3.0,-103.0,924.0,28.0,Low_Power,Balanced,Ultra_low
238,28.0,9.6,0.10606060606060606,35.0,-99.54285714285713,923.0,28.0,Low_Power,Balanced,Ultra_low
239,29.0,1.2,0.10831460674157303,241.0,-74.51867219917013,1760.0,29.0,Low_Power,Low_Latency,High
240,29.0,2.4,0.10382022471910113,231.0,-81.41125541125541,1761.0,29.0,Low_Power,Low_Latency,High
